x,nm,E_exc_eV,photon_eV,tpa_nm,sigma_GM
425.270019419,nm,5.83084594595,2.91542297297,425.270019419,5.64485995013
424.914908192,nm,5.83571891892,2.91785945946,424.914908192,5.83171374467
424.560389523,nm,5.84059189189,2.92029594595,424.560389523,6.02127980201
424.206461931,nm,5.84546486486,2.92273243243,424.206461931,6.21273287631
423.853123939,nm,5.85033783784,2.92516891892,423.853123939,6.4052138793
423.500374075,nm,5.85521081081,2.92760540541,423.500374075,6.59784383617
423.148210871,nm,5.86008378378,2.93004189189,423.148210871,6.78973033602
422.796632866,nm,5.86495675676,2.93247837838,422.796632866,6.97996313607
422.445638603,nm,5.86982972973,2.93491486486,422.445638603,7.1675969219
422.095226627,nm,5.8747027027,2.93735135135,422.095226627,7.35162135988
421.745395492,nm,5.87957567568,2.93978783784,421.745395492,7.53092122137
421.396143755,nm,5.88444864865,2.94222432432,421.396143755,7.70423207287
421.047469977,nm,5.88932162162,2.94466081081,421.047469977,7.87009929706
420.699372725,nm,5.89419459459,2.9470972973,420.699372725,8.02684955739
420.35185057,nm,5.89906756757,2.94953378378,420.35185057,8.17258387754
420.004902088,nm,5.90394054054,2.95197027027,420.004902088,8.30520008246
419.65852586,nm,5.90881351351,2.95440675676,419.65852586,8.4224494371
419.312720471,nm,5.91368648649,2.95684324324,419.312720471,8.52202813512
418.967484512,nm,5.91855945946,2.95927972973,418.967484512,8.60169927452
418.622816576,nm,5.92343243243,2.96171621622,418.622816576,8.65943579636
418.278715264,nm,5.92830540541,2.9641527027,418.278715264,8.69357043275
417.935179178,nm,5.93317837838,2.96658918919,417.935179178,8.70293595581
417.592206928,nm,5.93805135135,2.96902567568,417.592206928,8.6869787202
417.249797127,nm,5.94292432432,2.97146216216,417.249797127,8.64583101411
416.907948391,nm,5.9477972973,2.97389864865,416.907948391,8.58033282485
416.566659344,nm,5.95267027027,2.97633513514,416.566659344,8.49200040095
416.225928612,nm,5.95754324324,2.97877162162,416.225928612,8.3829461194
415.885754825,nm,5.96241621622,2.98120810811,415.885754825,8.25576023148
415.54613662,nm,5.96728918919,2.98364459459,415.54613662,8.11336896012
415.207072637,nm,5.97216216216,2.98608108108,415.207072637,7.9588846488
414.868561519,nm,5.97703513514,2.98851756757,414.868561519,7.79546236769
414.530601917,nm,5.98190810811,2.99095405405,414.530601917,7.62617423818
414.193192482,nm,5.98678108108,2.99339054054,414.193192482,7.45390866113
413.856331873,nm,5.99165405405,2.99582702703,413.856331873,7.28129751671
413.520018752,nm,5.99652702703,2.99826351351,413.520018752,7.11067090873
413.184251785,nm,6.0014,3.0007,413.184251785,6.94403651096
412.849029643,nm,6.00627297297,3.00313648649,412.849029643,6.7830791092
412.514351001,nm,6.01114594595,3.00557297297,412.514351001,6.62917539398
412.180214538,nm,6.01601891892,3.00800945946,412.180214538,6.48341920934
411.846618938,nm,6.02089189189,3.01044594595,411.846618938,6.3466530505
411.513562888,nm,6.02576486486,3.01288243243,411.513562888,6.21950240118
411.18104508,nm,6.03063783784,3.01531891892,411.18104508,6.10241034436
410.849064212,nm,6.03551081081,3.01775540541,410.849064212,5.99567065845
410.517618983,nm,6.04038378378,3.02019189189,410.517618983,5.89945826815
410.186708098,nm,6.04525675676,3.02262837838,410.186708098,5.81385643598
409.856330267,nm,6.05012972973,3.02506486486,409.856330267,5.73888046001
409.526484201,nm,6.0550027027,3.02750135135,409.526484201,5.67449790478
409.197168618,nm,6.05987567568,3.02993783784,409.197168618,5.62064555637
408.86838224,nm,6.06474864865,3.03237432432,408.86838224,5.57724338297
408.540123791,nm,6.06962162162,3.03481081081,408.540123791,5.54420581901
408.212392002,nm,6.07449459459,3.0372472973,408.212392002,5.52145068989
407.885185606,nm,6.07936756757,3.03968378378,407.885185606,5.50890606859
